Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Torino FC,Davide Nicola,32,Italy,Right-Back,RB,£450Th.,Ternana Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/davide-nicola/profil/spieler/21826
Torino FC,Mario Karlovic,21,Australia,Central Midfield,CM,-,AS Cittadella,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/mario-karlovic/profil/spieler/129629
Torino FC,Giovanni Orfei,29,Italy,Centre-Back,CB,£90Th.,SSC Venezia,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/giovanni-orfei/profil/spieler/6048
Torino FC,Raffaele Longo,27,Italy,Central Midfield,CM,£180Th.,Salernitana Calcio 1919,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/raffaele-longo/profil/spieler/21986
Torino FC,Luca Ungari,30,Italy,Centre-Back,CB,£540Th.,Modena FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-ungari/profil/spieler/6041
Torino FC,Enrico Fantini,29,Italy,Centre-Forward,CF,£135Th.,ACF Fiorentina,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/enrico-fantini/profil/spieler/21149
Torino FC,Andrea Ardito,28,Italy,Defensive Midfield,DM,£450Th.,Robur Siena,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-ardito/profil/spieler/15332
Torino FC,Jacopo Balestri,30,Italy,Left-Back,LB,£720Th.,Reggina Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/jacopo-balestri/profil/spieler/6037
Torino FC,Luigi Martinelli,34,Italy,Right-Back,RB,£90Th.,Ascoli Calcio 1898,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luigi-martinelli/profil/spieler/22319
Torino FC,Oscar Brevi,37,Italy,Centre-Back,CB,£90Th.,Ascoli Calcio 1898,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/oscar-brevi/profil/spieler/22302
Torino FC,Angelo Pagotto,31,Italy,Goalkeeper,GK,£180Th.,AC Arezzo,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/angelo-pagotto/profil/spieler/23282
Torino FC,Roberto Stellone,27,Italy,Centre-Forward,CF,£900Th.,Genoa CFC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/roberto-stellone/profil/spieler/16745
Torino FC,Andrea Gentile,25,Italy,Central Midfield,CM,£540Th.,FC Messina Peloro,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-gentile/profil/spieler/19220
Torino FC,Claudio De Sousa,19,Italy,Centre-Forward,CF,-,SS Lazio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/claudio-de-sousa/profil/spieler/22620
Torino FC,Simone Rizzato,23,Italy,Left-Back,LB,£630Th.,Chievo Verona,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/simone-rizzato/profil/spieler/21890
Torino FC,Samuele Emiliano,20,Italy,Centre-Back,CB,£45Th.,AS Biellese,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/samuele-emiliano/profil/spieler/21881
Torino FC,Giammarco Frezza,29,Italy,Left Midfield,LM,£68Th.,AS Fidelis Andria,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/giammarco-frezza/profil/spieler/22255
